id,mlp,proba_0,proba_1
20800,0,0.9999999999069553,9.304468823009305e-11
20801,1,1.8979484650571976e-11,0.9999999999810205
20802,1,0.00016316043035602412,0.999836839569644
20803,0,0.9999966032224336,3.396777566448552e-06
20804,1,2.220446049250313e-16,0.9999999999999998
20805,1,5.10702591327572e-15,0.9999999999999949
20806,0,0.9999999752666264,2.4733373545439485e-08
20807,0,0.9691527527639587,0.030847247236041223
20808,1,0.001094235696334822,0.9989057643036652
20809,1,2.4424906541753444e-15,0.9999999999999976
20810,1,0.0,1.0
20811,1,8.779199589525888e-12,0.9999999999912208
20812,1,6.756004644614677e-10,0.9999999993243995
20813,1,0.0,1.0
20814,1,0.0,1.0
20815,0,0.9999999996127729,3.872271102683977e-10
20816,0,0.9999998695838276,1.3041617236587451e-07
20817,0,0.9999999997508533,2.4914665081663724e-10
20818,1,0.0,1.0
20819,1,0.00018951665591271372,0.9998104833440873
20820,1,0.0001254834887239875,0.999874516511276
20821,1,4.129496744553762e-11,0.999999999958705
20822,0,0.5561715066666446,0.44382849333335533
20823,1,0.0,1.0
20824,1,0.0,1.0
20825,0,0.9999978850793491,2.114920650971371e-06
20826,1,0.0,1.0
20827,0,0.9999999999990069,9.93083889313714e-13
20828,0,0.9999999996230743,3.769256962821423e-10
20829,1,0.0,1.0
20830,1,0.00014322594818183543,0.9998567740518182
20831,1,1.676987737564417e-08,0.9999999832301226
20832,0,0.999999999116382,8.836179329561278e-10
20833,0,0.9999999996249641,3.7503593551546527e-10
20834,1,1.957989326228926e-12,0.999999999998042
20835,0,0.7188462642931603,0.2811537357068397
20836,0,0.9999999882993679,1.170063209004715e-08
20837,1,1.0835554675736603e-11,0.9999999999891644
20838,1,2.4424906541753444e-15,0.9999999999999976
20839,0,0.999999999623455,3.7654500711179845e-10
20840,0,0.9999999999069553,9.30446462686821e-11
20841,0,0.996381792587784,0.0036182074122159996
20842,1,6.661338147750939e-16,0.9999999999999993
20843,0,0.9999999999995514,4.4862878721537443e-13
20844,0,0.9999999999069553,9.304466774265818e-11
20845,1,0.0,1.0
20846,0,0.9999999999006207,9.93793324189988e-11
20847,0,0.9999999995454358,4.5456411294408845e-10
20848,1,0.0,1.0
20849,1,1.1102230246251565e-14,0.9999999999999889
20850,0,0.999999667515892,3.324841080433175e-07
20851,1,1.5543122344752192e-15,0.9999999999999984
20852,0,0.9999999999068779,9.312201460014656e-11
20853,1,2.7872370760295695e-06,0.999997212762924
20854,1,0.2976681580662248,0.7023318419337752
20855,0,0.9999999997781825,2.2181747679947762e-10
20856,1,1.4654943925052066e-14,0.9999999999999853
20857,0,0.9999999999993632,6.368782820692621e-13
20858,0,0.999999739226099,2.607739010266559e-07
20859,0,0.9999995664940585,4.335059414883501e-07
20860,1,4.947344756089933e-10,0.9999999995052655
20861,1,2.4567102907546712e-08,0.9999999754328971
20862,1,6.142786279639267e-10,0.9999999993857214
20863,0,0.9973389525642867,0.002661047435713263
