id,Bayesian,proba_0,proba_1
20800,0,1.0,2.484769655262043e-126
20801,1,2.3228808153599074e-33,1.0
20802,1,5.053873366579183e-26,1.0
20803,0,1.0,9.167531605340667e-96
20804,1,1.3092315268239252e-11,0.999999999986926
20805,1,1.396038669951025e-32,1.0
20806,0,0.9999729598941673,2.7040105837656827e-05
20807,0,0.9999999322999452,6.769960063621785e-08
20808,1,5.705922322008525e-11,0.9999999999427018
20809,1,0.3726503232179233,0.6273496767820766
20810,1,4.056727827571611e-222,1.0
20811,1,6.8172341862693034e-18,1.0
20812,1,2.7040718382698673e-69,1.0
20813,1,0.0,1.0
20814,1,1.5432752427012784e-13,1.0
20815,0,1.0,6.413304782944703e-42
20816,0,1.0,1.528688632693484e-193
20817,0,1.0,1.1781913762663967e-38
20818,1,1.2863679018658308e-15,1.0
20819,0,0.8760909450161234,0.12390905498394977
20820,1,2.1722169081855475e-11,0.9999999999781721
20821,1,0.21936310201345888,0.780636897986536
20822,1,1.0095690975793989e-95,1.0
20823,1,1.3582409372965142e-07,0.9999998641759568
20824,0,0.5001201923076923,0.4998798076923077
20825,0,1.0,1.5430862089845069e-31
20826,1,9.913153889536329e-15,1.0
20827,0,1.0,4.098005228554552e-85
20828,0,1.0,1.663429396e-315
20829,1,0.0,1.0
20830,1,0.13014790872421167,0.8698520912756867
20831,1,1.3297264263784837e-13,0.9999999999998863
20832,0,1.0,7.889989564668075e-72
20833,0,1.0,4.3570271858246726e-55
20834,1,2.0607973822795042e-07,0.9999997939203452
20835,0,1.0,2.3570401268399803e-132
20836,0,1.0,1.1471108476878083e-15
20837,1,1.0276550180586216e-12,0.9999999999990905
20838,1,8.473154647953167e-30,1.0
20839,0,1.0,6.095909730450695e-105
20840,0,1.0,7.103100511499106e-182
20841,0,0.9999999999986358,1.2668898191333e-12
20842,1,3.548656285569924e-21,1.0
20843,0,1.0,5.503878439171541e-27
20844,0,1.0,6.893389495420942e-96
20845,1,0.23389971746970226,0.7661002825303013
20846,0,1.0,5.705324316720339e-45
20847,0,1.0,1.3848944196901108e-13
20848,1,0.006916965639281697,0.9930830343607268
20849,1,2.46827078109663e-39,1.0
20850,0,1.0,3.8800624946252843e-22
20851,1,1.357192692870928e-16,1.0
20852,0,1.0,7.304390841691279e-80
20853,1,0.010750972451537123,0.9892490275485183
20854,1,0.08908348737295792,0.9109165126269431
20855,0,1.0,2.5090571252860084e-25
20856,1,0.00010374560934426898,0.9998962543906618
20857,0,1.0,1.0189696658337694e-83
20858,0,1.0,1.3824441257313096e-57
20859,0,1.0,2.3389350729915996e-41
20860,1,3.245754870028034e-53,1.0
20861,1,2.020330237299192e-30,1.0
20862,1,8.074008271702792e-182,1.0
20863,0,1.0,4.098144138954821e-30
20864,1,0.0016742816292087787,0.9983257183709905
20865,1,3.888452897516397e-23,1.0
20866,1,1.0252691795164376e-155,1.0
20867,1,4.202127486725848e-40,1.0
20868,1,1.1651283305663606e-62,1.0
20869,0,0.7417025563642808,0.2582974436357701
20870,1,0.2435021629709571,0.7564978370290861
20871,1,1.4021315547880946e-18,1.0
20872,1,7.249967908750842e-129,1.0
20873,0,1.0,9.535354492349212e-22
20874,0,1.0,1.3822692737803777e-91
20875,0,1.0,3.201160491896801e-39
20876,0,1.0,3.2371684898492625e-101
20877,0,1.0,7.186740848284943e-115
20878,0,0.8305221664551531,0.16947783354503324
20879,0,1.0,3.533423678006278e-34
20880,0,1.0,1.8472670969773577e-183
20881,1,7.099447981643844e-33,1.0
20882,0,0.9999999999922693,7.820285883391401e-12
20883,1,4.626990106521982e-23,1.0
20884,1,1.1420826991012739e-107,1.0
20885,1,6.18243994341333e-76,1.0
20886,0,0.9999999854690031,1.4531042010272365e-08
20887,0,1.0,2.2175876708876246e-155
20888,0,1.0,5.249664404058481e-80
20889,0,0.9998470774965073,0.00015292250351292574
20890,1,2.042987533007338e-09,0.9999999979569907
20891,0,1.0,9.833180051233886e-158
20892,0,1.0,1.783505988002924e-24
20893,1,1.894374625465225e-08,0.9999999810561351
20894,1,0.0065535669294916775,0.9934464330704981
20895,0,1.0,2.320060454825912e-86
20896,0,1.0,1.4770538425709127e-112
20897,0,1.0,1.9299826950795504e-22
20898,0,0.9999999997417035,2.5861601891155774e-10
20899,1,6.90008600770069e-31,1.0
20900,0,0.9999999858409865,1.4159028968616929e-08
20901,1,7.135665403216262e-41,1.0
20902,0,1.0,4.7850933824215004e-32
20903,0,1.0,9.294639735425232e-121
20904,0,1.0,3.079340283372224e-107
20905,0,1.0,6.5589628357647325e-96
20906,1,9.120231092687224e-38,1.0
20907,0,1.0,1.3796184375048845e-81
20908,1,0.0806122038742653,0.9193877961257344
20909,1,1.294702950906886e-52,1.0
20910,1,1.2739838496202235e-37,1.0
20911,1,1.1483353988719177e-09,0.9999999988517629
20912,0,1.0,7.7205620135404e-42
20913,0,1.0,2.5406029001766226e-80
20914,0,0.9999999999995453,6.05028983054054e-13
20915,0,1.0,8.999627184505707e-23
20916,0,1.0,1.0787387788409777e-46
20917,1,2.51290218453646e-217,1.0
20918,0,1.0,1.6788360709302278e-20
20919,1,0.007768169950312324,0.9922318300497017
20920,0,1.0,1.815787889434931e-15
20921,0,1.0,1.4241383542083996e-24
20922,1,8.13892973938118e-10,0.9999999991860022
20923,0,1.0,1.0524319421281657e-15
20924,0,0.9999913630620179,8.636937973797147e-06
20925,1,1.8527362546171714e-05,0.9999814726374673
20926,1,2.1317896791364006e-31,1.0
20927,0,0.9999999999668034,3.323963745544054e-11
20928,1,1.5239661633971568e-20,1.0
20929,0,1.0,2.058201853389476e-78
20930,1,0.010678900976777398,0.9893210990232237
20931,0,1.0,1.942406176455369e-195
20932,1,0.02026648394471432,0.9797335160552921
