id,MultinomialNB(),proba_0,proba_1
20800,0,1.0,1.9692937485207215e-124
20801,1,3.697297940736298e-34,1.0
20802,1,4.4344308095250146e-23,1.0
20803,0,1.0,1.4422772394347812e-96
20804,1,9.838414115985808e-11,0.9999999999016609
20805,1,2.934775248180431e-32,1.0
20806,0,0.9999801173022054,1.9882697786782894e-05
20807,0,0.9999999935971573,6.402563271530932e-09
20808,1,1.0009166044947606e-05,0.9999899908335254
20809,1,0.3166120176988628,0.6833879823011397
20810,1,1.189066191619564e-224,1.0
20811,1,9.609640491149837e-16,1.0
20812,1,1.0238690185558703e-66,1.0
20813,1,0.0,1.0
20814,1,9.329122157778257e-14,1.0
20815,0,1.0,9.494812539583662e-43
20816,0,1.0,3.2613612171043494e-204
20817,0,1.0,5.906647865152956e-37
20818,1,4.856786112338484e-15,1.0
20819,0,0.9962348370967398,0.0037651629034700256
20820,1,9.409090817157645e-16,1.0
20821,1,0.22241647117957833,0.7775835288204149
20822,1,1.3045671298837645e-94,1.0
20823,1,9.339544445248586e-07,0.9999990660455564
20824,1,0.4960937500000003,0.5039062499999998
20825,0,1.0,1.1496106565844548e-37
20826,1,1.2039584942937599e-15,1.0
20827,0,1.0,4.6619977595086706e-85
20828,0,1.0,0.0
20829,1,0.0,1.0
20830,0,0.6425521803673333,0.35744781963263755
20831,1,1.0866626687400816e-13,0.9999999999998863
20832,0,1.0,1.0036676721023828e-70
20833,0,1.0,6.149460606278854e-53
20834,1,1.4850110877266722e-07,0.999999851498853
20835,0,1.0,1.1065230020375952e-147
20836,0,1.0,2.7562176500550133e-16
20837,1,2.4802412533482563e-13,1.0
20838,1,5.931710303814447e-32,1.0
20839,0,1.0,2.6924477823809267e-101
20840,0,1.0,5.11973336079223e-189
20841,0,1.0,1.8849118457749235e-13
20842,1,1.884238894823086e-21,1.0
20843,0,1.0,2.7476458214973944e-26
20844,0,1.0,2.0031309704248648e-94
20845,1,0.2442856957457022,0.7557143042542922
20846,0,1.0,1.516174094112844e-45
20847,0,1.0,2.4486887379928494e-13
20848,1,0.005147966225147355,0.994852033774863
20849,1,2.1204336218636814e-40,1.0
20850,0,1.0,1.4791605770220708e-18
20851,1,6.591191447870904e-16,1.0
20852,0,1.0,3.02907304480595e-84
20853,0,0.6212202479629598,0.37877975203701014
20854,1,0.03836674355432527,0.9616332564456898
20855,0,1.0,1.639076854662198e-25
20856,1,0.00013396247616273533,0.9998660375238331
20857,0,1.0,1.2241384604327842e-86
20858,0,1.0,3.7891286036829873e-57
20859,0,1.0,2.7922442195973676e-41
20860,1,2.4157788233879835e-52,1.0
20861,1,5.2130062967844655e-31,1.0
20862,1,3.526082407952695e-183,1.0
20863,0,1.0,2.53895348063188e-29
20864,1,7.971257496691353e-05,0.9999202874249805
20865,1,1.756155862949013e-21,1.0
20866,1,1.0038975652720453e-155,1.0
20867,1,3.2628223274226538e-40,1.0
20868,1,1.9266819390383246e-67,1.0
20869,0,0.9100642366502885,0.0899357633497297
20870,0,0.9185761757747277,0.08142382422521409
20871,1,1.4198664875644466e-18,1.0
20872,1,2.0503294887522226e-131,1.0
20873,0,1.0,7.467491546527566e-21
20874,0,1.0,4.971836950094699e-91
20875,0,1.0,1.813933129603761e-30
20876,0,1.0,2.5277006824801337e-98
20877,0,1.0,2.1438306291068702e-113
20878,0,0.9931752249478845,0.006824775052082936
20879,0,1.0,2.1696361242081283e-34
20880,0,1.0,7.955293774048588e-197
20881,1,2.6224109722147113e-33,1.0
20882,0,0.999999999998181,1.8221505325285268e-12
20883,1,4.794700841735686e-22,1.0
20884,1,7.953292920500662e-112,1.0
20885,1,1.55685855549796e-76,1.0
20886,0,0.9999999213218902,7.867802089694749e-08
20887,0,1.0,7.897614991217322e-151
20888,0,1.0,1.2735788863156377e-78
20889,0,0.9962043815041779,0.0037956184957234442
20890,1,1.5315281266155177e-09,0.9999999984684678
20891,0,1.0,4.610361804073895e-155
20892,0,1.0,4.3550393793486504e-27
20893,1,6.753641792199153e-08,0.9999999324636543
20894,1,0.0073420363202454896,0.9926579636797608
20895,0,1.0,3.9150263799475355e-88
20896,0,1.0,2.6994089109303243e-107
20897,0,1.0,1.211192466744647e-22
20898,0,0.9999999999545253,4.548468080458456e-11
20899,1,6.801523524584915e-29,1.0
20900,0,0.9999999998404974,1.5955825797944203e-10
20901,1,3.5455855554613826e-37,1.0
20902,0,1.0,3.813588570549287e-33
20903,0,1.0,9.346780764268298e-125
20904,0,1.0,7.26294827055408e-108
20905,0,1.0,1.3197983892677236e-100
20906,1,9.57149875662208e-37,1.0
20907,0,1.0,7.589446480072936e-80
20908,1,0.001922783704386751,0.9980772162956171
20909,1,6.015443998224273e-53,1.0
20910,1,1.7151949444557082e-36,1.0
20911,1,4.444408882582934e-12,0.9999999999954525
20912,0,1.0,1.4043917849826973e-45
20913,0,1.0,1.1557353318445855e-89
20914,0,0.9999999999940883,5.6889532174689585e-12
20915,0,1.0,1.5910542499340623e-22
20916,0,1.0,2.8244434916603098e-46
20917,1,2.2784370992649493e-205,1.0
20918,0,1.0,4.416935956775987e-22
20919,1,0.04280187309661084,0.9571981269034131
20920,0,1.0,1.1793979265422763e-15
20921,0,1.0,8.093679944407326e-26
20922,1,8.195348278500895e-11,0.9999999999181455
20923,0,1.0,2.555716226425175e-16
20924,0,0.9999968474373544,3.1525625466024534e-06
20925,1,0.0001679073345277807,0.9998320926654797
20926,1,1.985308045866075e-30,1.0
20927,0,0.999999999970214,2.981775905752377e-11
20928,1,9.660710347589471e-20,1.0
20929,0,1.0,3.4335621028714833e-74
20930,1,0.011339766273520372,0.9886602337264655
20931,0,1.0,3.462348721829748e-207
20932,1,0.011459831899093931,0.9885401681009168
20933,0,1.0,2.28712136783271e-60
20934,0,1.0,3.5851755185945705e-19
20935,0,1.0,1.9988882413103574e-214
20936,0,1.0,4.130715602963117e-89
20937,1,6.693106052433888e-68,1.0
20938,1,1.5328520796341522e-29,1.0
20939,1,5.955609213625031e-11,0.9999999999404281
20940,1,0.009752026993518993,0.990247973006472
20941,0,0.9999999996803126,3.1983305915546054e-10
20942,1,2.6816562363575138e-64,1.0
20943,1,0.10263622544221641,0.8973637745578773
20944,1,1.2782298857928295e-38,1.0
20945,0,1.0,2.0761939137365034e-55
20946,1,4.431450572657468e-65,1.0
20947,1,4.28565799828227e-07,0.9999995714343649
20948,0,1.0,1.4198279509363608e-87
20949,0,1.0,4.527238397921837e-96
20950,1,0.031275495751696795,0.9687245042484629
20951,0,1.0,7.377264881196034e-20
20952,0,1.0,3.699176505720615e-238
20953,1,3.4393000826261684e-12,0.999999999996362
20954,0,1.0,2.5922059806354168e-77
20955,1,3.5262336743202574e-94,1.0
20956,0,1.0,3.8080427795748355e-27
20957,1,1.7503988097799678e-18,1.0
20958,0,0.9999999999809006,1.8820148528763543e-11
20959,1,0.29925134541193177,0.7007486545880712
20960,1,1.3513701656700606e-269,1.0
20961,1,2.4912394829555403e-19,1.0
20962,1,3.724894104325697e-26,1.0
20963,1,3.759425604115426e-49,1.0
20964,0,1.0,3.233548742147992e-29
20965,1,0.00016327951083252464,0.9998367204891632
20966,0,1.0,2.931867234180909e-21
20967,0,1.0,1.899276183427727e-16
20968,1,0.061420340980219625,0.9385796590197769
20969,0,1.0,1.595839250863811e-13
20970,0,1.0,2.410419431851137e-20
20971,0,1.0,3.1095989243871487e-111
20972,0,0.9999732953424966,2.6704657565266537e-05
20973,1,2.952896974760832e-42,1.0
20974,0,1.0,1.777864693134843e-163
20975,0,1.0,9.015837482374137e-35
20976,0,1.0,1.6892662920307516e-126
20977,1,0.12668491824775702,0.8733150817522166
20978,0,1.0,1.4379251764659407e-14
20979,0,1.0,7.645054142095799e-33
20980,0,1.0,2.8427843492889268e-24
20981,0,1.0,1.7748924914307844e-21
20982,0,1.0,4.3135434239975654e-60
20983,1,1.6893910109239768e-10,0.9999999998310614
20984,0,1.0,3.4095269761298904e-53
20985,1,1.0831767404336566e-05,0.9999891682326181
20986,1,5.7111294862200495e-59,1.0
20987,0,1.0,1.3651452388423522e-114
