id,LogisticRegression(),proba_0,proba_1
20800,0,0.9999999999999941,5.845434835430603e-15
20801,1,1.1126509907866122e-06,0.9999988873490092
20802,1,3.651854219022255e-08,0.9999999634814578
20803,0,0.9999999513863295,4.861367048407171e-08
20804,1,0.0007392781024937456,0.9992607218975063
20805,1,3.094222655875001e-10,0.9999999996905777
20806,0,0.9941235140119893,0.0058764859880107365
20807,1,0.0011229723584846862,0.9988770276415153
20808,1,0.0010732607849145426,0.9989267392150855
20809,1,0.05075123343777477,0.9492487665622252
20810,1,0.0,1.0
20811,1,0.0024626503218129203,0.9975373496781871
20812,1,4.227729277772596e-12,0.9999999999957723
20813,1,0.0,1.0
20814,1,8.826793158611679e-07,0.9999991173206841
20815,0,0.9999895542028079,1.0445797192148214e-05
20816,0,1.0,3.636070117450018e-19
20817,0,0.9999877449882986,1.2255011701420764e-05
20818,1,4.2053986548662436e-07,0.9999995794601345
20819,0,0.9699840501229082,0.030015949877091757
20820,1,0.10911072344068462,0.8908892765593154
20821,1,0.0055900302875899754,0.99440996971241
20822,0,0.7525635704243712,0.24743642957562884
20823,1,4.095664278269684e-05,0.9999590433572173
20824,1,0.04117414647280648,0.9588258535271935
20825,0,0.9999988310540296,1.1689459703319664e-06
20826,1,2.0464341332626645e-09,0.9999999979535659
20827,0,0.9999999999999873,1.2686107198608198e-14
20828,0,1.0,3.2496708857616335e-33
20829,1,5.089726418106011e-10,0.9999999994910274
20830,0,0.7786423645413173,0.22135763545868273
20831,1,0.0033738671248763064,0.9966261328751237
20832,0,0.9999999998803553,1.196447082817479e-10
20833,0,0.9999999999999999,5.561924651999562e-17
20834,1,0.0006194589009513862,0.9993805410990486
20835,0,0.9999999999999989,1.0582786176361505e-15
20836,0,0.9999911308649688,8.869135031141953e-06
20837,1,1.3350484922014516e-06,0.9999986649515078
20838,1,8.881784197001252e-15,0.9999999999999911
20839,0,0.9999999999999991,9.384139538650081e-16
20840,0,1.0,1.2637107453643957e-25
20841,0,0.999999407966401,5.920335989982611e-07
20842,1,8.281549509803199e-05,0.999917184504902
20843,0,0.9991704241438165,0.0008295758561834713
20844,0,1.0,1.133776638413626e-19
20845,1,0.04310963120832367,0.9568903687916763
20846,0,0.9999999988381671,1.1618328677586822e-09
20847,0,0.999999023902176,9.760978240312161e-07
20848,1,0.006990184044099901,0.9930098159559001
20849,1,0.004291133309717976,0.995708866690282
20850,0,0.9996260489582182,0.0003739510417818031
20851,1,4.388267527133394e-12,0.9999999999956117
20852,0,0.999999999947209,5.2790939916349705e-11
20853,0,0.5575502408157091,0.4424497591842908
20854,1,0.015188722841494195,0.9848112771585058
20855,0,0.9999999999999987,1.3492450286871044e-15
20856,1,0.014263755221108121,0.9857362447788919
20857,0,0.9999999999246534,7.53465838946427e-11
20858,0,0.9999998564654271,1.4353457293967578e-07
20859,0,0.9998876513731555,0.00011234862684452742
20860,1,7.010380177030484e-06,0.999992989619823
20861,0,0.5824421439958627,0.41755785600413736
20862,1,0.0,1.0
20863,0,0.9925025668660825,0.007497433133917524
