id,rnn
20800,0.14024642
20801,0.30840155
20802,0.5866081
20803,0.2774698
20804,0.53727156
20805,0.48851234
20806,0.19226241
20807,0.5657983
20808,0.6301841
20809,1.108502
20810,0.5044613
20811,0.5026582
20812,0.50579333
20813,0.42327002
20814,0.18871434
20815,0.28108454
20816,0.25820842
20817,0.12085852
20818,0.59041315
20819,0.46606523
20820,0.22354895
20821,0.67846256
20822,0.1063353
20823,0.8196024
20824,1.1134099
20825,0.21971954
20826,0.6256456
20827,0.14297567
20828,0.24511959
20829,0.6438649
20830,0.022909954
20831,0.16569218
20832,0.32210782
20833,0.21110968
20834,0.58084995
20835,0.25759417
20836,0.12755078
20837,0.4771066
20838,0.7602925
20839,0.15383887
20840,0.13628122
20841,0.11889987
20842,0.571688
20843,0.19885626
20844,0.18118758
20845,0.9185775
20846,0.18153921
20847,0.08264899
20848,0.68303066
20849,0.14333479
20850,0.35844842
20851,0.25362587
20852,0.19549179
20853,0.27812296
20854,0.49867806
20855,0.2084189
20856,0.6632624
20857,0.24923481
20858,0.3629597
20859,0.244385
20860,0.74997556
20861,0.37957284
20862,0.4419885
20863,0.45010656
20864,0.30347618
20865,0.74496245
20866,0.43199143
20867,0.6360938
20868,0.62132627
20869,0.14130451
20870,0.44413364
20871,0.34185204
20872,0.40688303
20873,0.25734082
20874,0.23024887
20875,0.64167833
20876,0.24555916
20877,0.062522665
20878,0.237754
20879,0.20650424
20880,0.24461631
20881,0.42161304
20882,0.246889
20883,0.50125206
20884,0.4631941
20885,0.5148582
20886,0.5162892
20887,0.20807467
20888,0.530832
20889,0.2965794
20890,0.73068255
20891,0.25728557
20892,0.2507308
20893,0.44872037
20894,0.44442737
20895,0.062749244
20896,0.081216864
20897,0.1934388
20898,0.43353668
20899,0.57376134
20900,0.12492417
20901,0.6360975
20902,0.29158434
20903,0.38807395
20904,0.32348824
20905,0.24762708
20906,0.69442284
20907,0.5103966
20908,1.0840894
20909,0.69728476
20910,0.32706547
20911,0.36934447
20912,0.1637456
20913,0.14787644
20914,0.08423865
20915,0.10729543
20916,0.40819904
20917,0.5061904
20918,0.28268802
20919,0.54500115
20920,0.27259776
20921,0.14898828
20922,0.5889303
20923,0.1929182
20924,0.25779292
20925,0.5349192
20926,0.6843448
20927,0.34100544
20928,0.6693063
20929,0.42474726
20930,0.49846786
20931,0.21728781
20932,0.6514245
20933,0.11998671
20934,0.38500172
20935,0.17660502
20936,0.19736172
20937,0.59723204
20938,0.67262495
20939,0.3550347
20940,0.52170426
20941,0.3287623
20942,0.51697713
20943,0.6929739
20944,0.56050766
20945,0.39935783
20946,0.8027208
20947,0.45615414
20948,0.11220093
20949,0.46279854
20950,0.48605683
20951,0.28386557
20952,0.12065126
20953,0.50889736
20954,0.1944697
20955,0.36086646
20956,0.16783278
20957,0.76931924
20958,0.40412828
20959,0.92215157
20960,0.52337426
20961,0.6389374
20962,0.5951558
20963,0.73426765
20964,0.12839139
20965,0.73065495
20966,0.18558568
20967,0.7249022
20968,0.8863722
20969,0.07086789
20970,0.10855593
20971,0.21477862
20972,0.10324156
20973,0.47939894
20974,0.28881395
20975,0.3336045
20976,0.2162878
20977,0.42000276
20978,0.24501804
20979,0.053251
20980,0.20630126
20981,0.43573418
20982,0.4988446
20983,0.54509336
20984,0.3755624
20985,0.4943975
20986,0.6022768
20987,0.27725047
20988,0.43758458
20989,0.35943398
20990,0.49305195
20991,0.44177422
20992,0.2643949
20993,0.3981278
20994,0.9218136
20995,0.66330683
20996,0.40626568
20997,0.39684445
20998,0.70350206
20999,0.23742156
21000,0.2730966
21001,0.99373394
21002,0.09407947
21003,0.48235285
21004,0.78018785
21005,0.6311881
21006,0.41818076
21007,0.536727
21008,0.17794885
21009,0.19577095
21010,0.047823906
21011,0.60910094
21012,0.53516984
21013,0.20997891
21014,0.21345899
21015,0.64289093
21016,0.42540032
21017,0.0818961
21018,0.293587
21019,0.51647043
21020,0.19216146
21021,0.4155102
21022,0.22901662
21023,0.172905
21024,0.12549017
21025,0.5579483
21026,0.47078237
21027,0.8256387
21028,0.208767
21029,0.2595577
21030,0.24262795
21031,0.2872912
21032,0.3204812
21033,0.2709898
21034,0.69048184
21035,0.2504633
21036,0.48018605
21037,0.5381061
21038,0.3313639
21039,0.20094936
21040,0.31426722
21041,0.6911042
21042,0.093190596
21043,0.44854325
21044,0.6799695
21045,0.19968328
21046,0.45690456
21047,0.7677341
21048,0.3046028
21049,0.50842696
21050,0.5997438
21051,0.49050635
21052,0.70738536
21053,0.39175218
21054,0.53720677
21055,0.3186192
21056,0.25958914
21057,0.45373067
21058,0.28662035
21059,0.5552181
21060,0.23872586
21061,0.6926164
21062,0.85383296
21063,0.22803968
21064,0.45948216
21065,0.76270425
21066,0.44883856
21067,0.53303695
21068,0.26382217
21069,0.47680262
21070,0.31397483
21071,0.29798868
21072,0.6639454
21073,0.78716946
21074,0.21776831
21075,0.26086038
21076,0.14826812
21077,0.082431965
21078,0.18691632
21079,0.37457716
21080,0.43667775
21081,1.0455247
21082,0.22439995
21083,0.7415324
21084,0.39494377
21085,0.31483483
21086,0.32362306
21087,0.518896
21088,0.20045547
21089,0.3673786
21090,0.5434758
21091,0.20037228
21092,0.19065006
21093,0.74438316
21094,0.42153424
21095,0.4044209
21096,0.7642576
21097,0.2734948
21098,0.3169679
21099,0.21368393
21100,0.2312565
21101,0.07662937
21102,0.42879716
21103,0.6129829
21104,0.6618354
21105,0.15150332
21106,0.44126666
21107,0.4191211
21108,0.33270207
21109,0.2148099
21110,0.27015698
21111,0.34846604
21112,0.36100504
21113,0.36459833
21114,0.25551033
21115,0.39815938
21116,0.18168679
21117,0.37534785
21118,0.42748952
21119,0.4464101
21120,0.19416548
21121,0.34617963
21122,0.18907066
21123,0.3037686
21124,0.15224043
21125,0.47099745
21126,0.44529605
21127,0.24322298
21128,0.13344297
21129,0.8886012
21130,0.588273
21131,0.31486753
21132,0.4149296
21133,0.42204258
21134,0.6214803
21135,0.44132876
21136,0.6401904
21137,0.18300623
21138,0.2675352
21139,0.20848766
21140,0.5699713
21141,0.39970848
21142,0.50835806
21143,0.19605844
21144,0.72089374
21145,0.17244793
21146,0.08868666
21147,0.67833453
21148,0.27011964
21149,0.4806419
21150,0.58088017
21151,0.23927617
21152,0.3505915
21153,0.4996292
21154,0.12680532
21155,0.401033
21156,0.4920143
21157,0.45784855
21158,0.32324937
21159,0.21949758
21160,0.4243391
21161,0.4555579
21162,0.40881106
21163,0.6294139
21164,0.60468584
21165,0.47253513
21166,0.5245169
21167,0.44324747
21168,0.39471713
21169,0.35185492
21170,0.20241678
21171,0.6014818
21172,0.18568987
21173,0.22421914
21174,0.5779358
21175,0.1340752
21176,0.55904603
21177,0.38812798
21178,0.48090157
21179,0.2092104
21180,0.274368
21181,0.6138044
21182,0.61482227
21183,0.21193787
21184,0.34654725
21185,0.47746286
21186,0.4463095
21187,0.38886413
21188,0.37894616
21189,0.22204678
21190,0.60845613
21191,0.5219642
21192,0.48431286
21193,0.5230493
21194,0.08228466
21195,0.37259412
21196,0.3825075
21197,0.21421447
21198,0.26293185
21199,0.36624813
21200,0.14197686
21201,0.13220887
21202,0.2805696
21203,0.20393758
21204,0.4045621
21205,0.13498051
21206,0.12857345
21207,0.50698
21208,0.16460459
21209,0.08704505
21210,0.48046598
21211,0.19633672
21212,0.16294754
21213,0.37963516
21214,0.49270424
21215,0.21915334
21216,0.22565232
21217,0.16350581
21218,0.5181805
21219,0.40001217
21220,0.31864244
21221,0.12936015
21222,0.47262847
21223,0.2531731
21224,0.30530748
21225,0.45215806
21226,0.22918138
21227,0.48219383
21228,0.12002712
21229,0.14345427
21230,0.15302593
21231,0.54197294
21232,0.17989662
21233,0.230838
21234,0.16028488
21235,0.2934963
21236,0.29124814
21237,0.72007036
21238,0.4697466
21239,0.4448804
21240,0.2953851
21241,0.14181225
21242,0.63006616
21243,0.074256115
21244,0.104333885
21245,0.46634093
21246,0.17693263
21247,0.3601936
21248,0.088796034
21249,0.056633145
21250,0.6230998
21251,0.5313127
21252,0.36778918
21253,0.7313962
21254,0.10044376
21255,0.39655995
21256,0.41226736
21257,0.29200104
21258,0.58001757
21259,0.2149814
21260,0.09908921
21261,0.2741813
21262,0.6288524
21263,0.28745145
21264,0.3072724
21265,0.34553242
21266,0.27617094
21267,0.15635441
21268,0.21097353
21269,0.24498834
21270,0.69918704
21271,0.12050992
21272,0.25017712
21273,0.28550866
21274,0.45994505
21275,0.25829276
21276,0.24796832
21277,0.6406968
21278,0.27049488
21279,0.46106398
21280,0.3578646
21281,0.352718
21282,0.3291997
21283,0.045894176
21284,0.07628554
21285,0.3673205
21286,0.4039668
21287,0.24890688
21288,0.42723313
21289,0.31537297
21290,0.1999777
21291,0.3047174
21292,0.30338928
21293,0.54855156
21294,0.13833743
21295,0.24909872
21296,0.51504964
21297,0.48252702
21298,0.36817098
21299,0.76693267
21300,0.3432638
21301,0.2664857
21302,0.11510614
21303,0.49820298
21304,0.31203318
21305,0.544534
21306,0.045261692
21307,0.10105617
21308,0.030607197
21309,0.2846818
21310,0.35961446
21311,0.5180596
21312,0.5536834
21313,0.13008676
21314,0.35707843
21315,0.6146547
21316,0.44570744
21317,0.28704888
21318,0.2547447
21319,0.3344136
21320,0.2786244
21321,0.27475205
21322,0.59268343
21323,0.5309321
21324,0.1764406
21325,0.6351644
21326,0.2669086
21327,0.3086101
21328,0.54297495
21329,0.12808822
